,Name,Link
1029,Displays (University of Colorado Boulder),https://coursera.org/learn/displays
1030,"Distributed Computing with Spark SQL (University of California, Davis)",https://coursera.org/learn/spark-sql
1031,Distributed Programming in Java (Rice University),https://coursera.org/learn/distributed-programming-in-java
1032,Diversity and inclusion in the workplace (ESSEC Business School),https://coursera.org/learn/diversity-inclusion-workplace
1033,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms (Stanford University)",https://coursera.org/learn/algorithms-divide-conquer
1034,Diálisis peritoneal (Universidad Nacional Autónoma de México),https://coursera.org/learn/dialisis-peritoneal
1035,Docencia para la capacitación laboral y el aprendizaje a lo largo de la vida. (Universidad de Chile),https://coursera.org/learn/docencia-capacitacion-laboral
1036,Dog Emotion and Cognition (Duke University),https://coursera.org/learn/dog-emotion-and-cognition
1037,Doing Business in China Capstone (The Chinese University of Hong Kong),https://coursera.org/learn/doing-business-in-china-capstone
1038,Doing Business in Europe (ESCP Business School),https://coursera.org/learn/doing-business-in-europe
1039,Doing Business in Russia (Saint Petersburg State University),https://coursera.org/learn/business-russia
1040,Doing Clinical Research: Biostatistics with the Wolfram Language (University of Cape Town),https://coursera.org/learn/clinical-research-biostatistics-wolfram
1041,Doing More with SAS Programming (SAS),https://coursera.org/learn/sas-programming-advanced
1042,Donner un feedback utile (University of Colorado Boulder),https://coursera.org/learn/feedback-fr
1043,"Dopage : Sports, Organisations et Sciences (University of Lausanne)",https://coursera.org/learn/dopage
1044,"Doping : Sports, Organizations and Sciences (University of Lausanne)",https://coursera.org/learn/doping
1045,Doğrusal Cebir I: Uzaylar ve İşlemciler / Linear Algebra I: Spaces and Operators (Koç University),https://coursera.org/learn/linearalgebra1
1046,"Doğrusal Cebir II: Kare Matrisler, Hesaplama Yöntemleri ve Uygulamalar / Linear Algebra II: Square Matrices, Calculation Methods and Applications (Koç University)",https://coursera.org/learn/linearalgebra2
1047,Driving business towards the Sustainable Development Goals (Erasmus University Rotterdam),https://coursera.org/learn/sdgbusiness
1048,Droit International de l'Eau Douce (University of Geneva),https://coursera.org/learn/droit-international-eau-douce
1049,Drug Commercialization (University of California San Diego),https://coursera.org/learn/drug-commercialization
1050,Drug Development (University of California San Diego),https://coursera.org/learn/drug-development
1051,Drug Discovery (University of California San Diego),https://coursera.org/learn/drug-discovery
1052,Drugs and the Brain (Caltech),https://coursera.org/learn/drugs-and-brain
1053,"Drugs, drug use, drug policy and health (University of Geneva)",https://coursera.org/learn/drugs
1054,Dynamical Modeling Methods for Systems Biology (Icahn School of Medicine at Mount Sinai),https://coursera.org/learn/dynamical-modeling
1055,Développement psychologique de l'enfant (University of Geneva),https://coursera.org/learn/enfant-developpement
1056,EDIVET: Do you have what it takes to be a veterinarian? (The University of Edinburgh),https://coursera.org/learn/becoming-a-veterinarian
1057,ELL Success in the Content Classroom: Capstone Project (Arizona State University),https://coursera.org/learn/ell-project
1058,EMT Foundations (University of Colorado System),https://coursera.org/learn/emt-foundations
1059,EU policy and implementation: making Europe work! (Universiteit Leiden),https://coursera.org/learn/eu-making-europe-work
1060,Easing Physical Symptoms: It's Not Just Hospice Anymore (University of Colorado System),https://coursera.org/learn/easing-physical-symptoms
1061,"Easing the burden of obesity, diabetes and cardiovascular disease (The University of Sydney)",https://coursera.org/learn/easing-the-burden-of-obesity-diabetes-cvd
1062,Ebola : Vaincre ensemble ! (University of Geneva),https://coursera.org/learn/ebola-vaincre-ensemble
1063,Ebola Virus Disease: An Evolving Epidemic (Emory University),https://coursera.org/learn/ebola-virus
1064,"Ebola: Essential Knowledge for Health Professionals (University of Amsterdam, Utrecht University)",https://coursera.org/learn/ebola-essentials-for-health-professionals
1065,Ecologie Politique: défi de la durabilité pour les démocraties (University of Lausanne),https://coursera.org/learn/ecologie-politique
1066,"Ecology: Ecosystem Dynamics and Conservation (American Museum of Natural History, Howard Hughes Medical Institute )",https://coursera.org/learn/ecology-conservation
1067,Ecology: from cells to Gaia (National Research Tomsk State University),https://coursera.org/learn/ecology
1068,Econometria Básica Aplicada (Universidade de São Paulo),https://coursera.org/learn/econometria-basica-aplicada
1069,Econometrics: Methods and Applications (Erasmus University Rotterdam),https://coursera.org/learn/erasmus-econometrics
1070,Economic Growth and Distributive Justice Part I -The Role of the State (Tel Aviv University),https://coursera.org/learn/economic-growth-part-1
1071,Economic Growth and Distributive Justice Part II - Maximize Social Wellbeing (Tel Aviv University),https://coursera.org/learn/economic-growth-part-2
1072,Economics of Money and Banking (Columbia University),https://coursera.org/learn/money-banking
1073,Economics of Transition and Emerging Markets (National Research University Higher School of Economics),https://coursera.org/learn/economics-transition-emerging-markets
1074,Economie du sol et de l'immobilier I (École Polytechnique Fédérale de Lausanne),https://coursera.org/learn/economie-sol-immobilier-1
1075,Economie du sol et de l'immobilier II (École Polytechnique Fédérale de Lausanne),https://coursera.org/learn/economie-sol-immobilier-2
1076,Ecosystem Services: a Method for Sustainable Development (University of Geneva),https://coursera.org/learn/ecosystem-services
1077,"Ecosystems of California (University of California, Santa Cruz)",https://coursera.org/learn/california-ecosystems
1078,Educación en Contextos Rurales: Perspectivas en América Latina (Universidad Austral),https://coursera.org/learn/educacion-contextos-rurales-america-latina
1079,Educating Deaf Children: Becoming an Empowered Teacher (University of Cape Town),https://coursera.org/learn/educating-deaf-children
1080,Effective Altruism (Princeton University),https://coursera.org/learn/altruism
1081,Effective Business Presentations with Powerpoint (PwC),https://coursera.org/learn/powerpoint-presentations
1082,Effective Communication Capstone Project (University of Colorado Boulder),https://coursera.org/learn/effective-communication-capstone
1083,Effective Communication in the Globalised Workplace - The Capstone (National University of Singapore),https://coursera.org/learn/effective-communication-in-the-globalised-workplace
1084,Effective Compliance Programs (University of Pennsylvania),https://coursera.org/learn/effective-compliance-programs
1085,"Effective Problem-Solving and Decision-Making (University of California, Irvine)",https://coursera.org/learn/problem-solving
1086,Effective Sales – An Overview (Fundação Instituto de Administração),https://coursera.org/learn/effective-sales-overview
1087,Effectively delivering the news to your audience (Michigan State University),https://coursera.org/learn/deliver-the-news
1088,Effectuation : l'entrepreneuriat pour tous (emlyon business school),https://coursera.org/learn/effectuation
1089,Egiptología (Egyptology) (Universitat Autònoma de Barcelona),https://coursera.org/learn/egypt
1090,El Valle de los Reyes (Universitat Autònoma de Barcelona),https://coursera.org/learn/valle-de-los-reyes
1091,"El arte de negociar (University of California, Irvine)",https://coursera.org/learn/arte-de-negociacion
1092,El desafío de Innovar en la Educación Superior (Universidad de Chile),https://coursera.org/learn/educacion-superior
1093,El plan de marketing (IE Business School),https://coursera.org/learn/plan-de-marketing
1094,Elastic Cloud Infrastructure: Containers and Services auf Deutsch (Google Cloud),https://coursera.org/learn/gcp-infrastructure-containers-services-de
1095,Elastic Cloud Infrastructure: Containers and Services dalam bahasa Indonesia (Google Cloud),https://coursera.org/learn/gcp-infrastructure-containers-services-id
1096,Elastic Cloud Infrastructure: Containers and Services em Português Brasileiro (Google Cloud),https://coursera.org/learn/gcp-infrastructure-containers-services-br
1097,Elastic Cloud Infrastructure: Containers and Services en Español (Google Cloud),https://coursera.org/learn/gcp-infrastructure-containers-services-es
1098,Elastic Cloud Infrastructure: Containers and Services en Français (Google Cloud),https://coursera.org/learn/gcp-infrastructure-containers-services-fr
1099,Elastic Cloud Infrastructure: Containers and Services 日本語版 (Google Cloud),https://coursera.org/learn/gcp-infrastructure-containers-services-jp
1100,Elastic Cloud Infrastructure: Scaling and Automation (Google Cloud),https://coursera.org/learn/gcp-infrastructure-scaling-automation
1101,Elastic Cloud Infrastructure: Scaling and Automation auf Deutsch (Google Cloud),https://coursera.org/learn/gcp-infrastructure-scaling-automation-de
1102,Elastic Cloud Infrastructure: Scaling and Automation dalam bahasa Indonesia (Google Cloud),https://coursera.org/learn/elastic-cloud-infrastructure-scaling-automation-id
1103,Elastic Cloud Infrastructure: Scaling and Automation em Português Brasileiro (Google Cloud),https://coursera.org/learn/gcp-infrastructure-scaling-automation-br
1104,Elastic Cloud Infrastructure: Scaling and Automation en Español (Google Cloud),https://coursera.org/learn/gcp-infrastructure-scaling-automation-es
1105,Elastic Cloud Infrastructure: Scaling and Automation en Français (Google Cloud),https://coursera.org/learn/gcp-infrastructure-scaling-automation-fr
1106,Elastic Cloud Infrastructure: Scaling and Automation 日本語版 (Google Cloud),https://coursera.org/learn/gcp-infrastructure-scaling-automation-jp
1107,Electric Industry Operations and Markets (Duke University),https://coursera.org/learn/electricity
1108,"Electric Power Systems (University at Buffalo, The State University of New York)",https://coursera.org/learn/electric-power-systems
