,Name,Url,Rating,Difficulty,Tags
4,"Healthy Practices: Nutrition, Physical Activity, and Community and Family Participation",https://coursera.org/learn/healthy-practices-nutrition-physical-activity-community-family-participation,4.9,Beginner Level,"['Health', 'Nutrition']"
5,"Android App Components - Services, Local IPC, and Content Providers",https://coursera.org/learn/androidapps-2,4.3,Beginner Level,"['Computer Science', 'Mobile and Web Development']"
6,Big Data: visualización de datos,https://coursera.org/learn/big-data-visualizacion-datos,4.6,Intermediate Level,"['Data Science', 'Data Analysis']"
7,Strategic Career Self-Management,https://coursera.org/learn/strategic-career-self-management,4.4,None,"['Personal Development', 'Personal Development']"
8,Web Connectivity and Security in Embedded Systems,https://coursera.org/learn/iot-connectivity-security,4.6,Intermediate Level,"['Computer Science', 'Computer Security and Networks']"
9,Introduction to Spreadsheets and Models,https://coursera.org/learn/wharton-introduction-spreadsheets-models,4.2,None,"['Business', 'Business Essentials']"
0,Powerful Tools for Teaching and Learning: Web 2.0 Tools,https://coursera.org/learn/teaching-learning-tools,4.6,Beginner Level,"['Social Sciences', 'Education']"
1,Social Media Data Analytics,https://coursera.org/learn/social-media-data-analytics,4.1,Intermediate Level,"['Data Science', 'Data Analysis']"
2,Advanced Portfolio Construction and Analysis with Python,https://coursera.org/learn/advanced-portfolio-construction-python,4.8,Intermediate Level,"['Business', 'Finance']"
3,Marketing Analytics,https://coursera.org/learn/uva-darden-market-analytics,4.6,Beginner Level,"['Business', 'Marketing']"
4,Creativity Toolkit I: Changing Perspectives,https://coursera.org/learn/creativity-toolkit-1,4.7,None,"['Business', 'Entrepreneurship']"
5,The Importance and Power of Music in our Society,https://coursera.org/learn/importance-power-music-our-society,4.6,Beginner Level,"['Arts and Humanities', 'Music and Art']"
6,International Security Management,https://coursera.org/learn/international-security-management,None,Beginner Level,"['Social Sciences', 'Governance and Society']"
7,International Law In Action: Investigating and Prosecuting International Crimes,https://coursera.org/learn/international-law-in-action-2,4.8,None,"['Social Sciences', 'Law']"
8,Decision-Making and Scenarios,https://coursera.org/learn/wharton-decision-making-scenarios,4.6,None,"['Business', 'Business Essentials']"
9,Fundamentals of Visualization with Tableau,https://coursera.org/learn/data-visualization-tableau,4.5,Beginner Level,"['Data Science', 'Data Analysis']"
0,Data Mining Project,https://coursera.org/learn/data-mining-project,4.6,None,"['Data Science', 'Data Analysis']"
1,Diode - pn Junction and Metal Semiconductor Contact,https://coursera.org/learn/diode-pn-junction-metal-semiconductor-contact,4.1,Advanced Level,"['Physical Science and Engineering', 'Electrical Engineering']"
2,Managerial Economics and Business Analysis Capstone,https://coursera.org/learn/managerial-economics-capstone,4.6,Beginner Level,"['Business', 'Business Essentials']"
3,A Life of Happiness and Fulfillment,https://coursera.org/learn/happiness,4.8,None,"['Health', 'Psychology']"
4,Machine Learning with Python,https://coursera.org/learn/machine-learning-with-python,4.7,Intermediate Level,"['Data Science', 'Machine Learning']"
5,"The Music of the Rolling Stones, 1962-1974",https://coursera.org/learn/rolling-stones,4.8,None,"['Arts and Humanities', 'Music and Art']"
